,Primary Fur Color
0,
1,Gray
2,Cinnamon
3,Gray
4,
5,Gray
6,Gray
7,Gray
8,Gray
9,Gray
10,Gray
11,Cinnamon
12,Gray
13,Gray
14,Gray
15,Gray
16,Gray
17,Gray
18,Cinnamon
19,Gray
20,Gray
21,Gray
22,Gray
23,Gray
24,Gray
25,Cinnamon
26,Cinnamon
27,Gray
28,Gray
29,Gray
30,Gray
31,Gray
32,Gray
33,Gray
34,Gray
35,Cinnamon
36,Gray
37,Gray
38,Gray
39,Gray
40,Gray
41,Black
42,Gray
43,Gray
44,Gray
45,Gray
46,Gray
47,Gray
48,Gray
49,Black
50,Gray
51,Gray
52,Gray
53,Gray
54,Gray
55,Gray
56,Gray
57,Gray
58,Gray
59,Gray
60,Gray
61,Gray
62,Cinnamon
63,Gray
64,Gray
65,Gray
66,Cinnamon
67,Cinnamon
68,Gray
69,Gray
70,Gray
71,Gray
72,Gray
73,Gray
74,Gray
75,Gray
76,Gray
77,Gray
78,Cinnamon
79,Gray
80,Gray
81,Gray
82,Cinnamon
83,Gray
84,Gray
85,Gray
86,Cinnamon
87,Cinnamon
88,Gray
89,Gray
90,Gray
91,
92,Gray
93,Gray
94,Gray
95,Gray
96,Gray
97,Gray
98,Black
99,Gray
100,Gray
101,Gray
102,Gray
103,Gray
104,Gray
105,Gray
106,Gray
107,Gray
108,Gray
109,Gray
110,Gray
111,Gray
112,Gray
113,Gray
114,Gray
115,Gray
116,Gray
117,Gray
118,Gray
119,Cinnamon
120,Gray
121,Gray
122,Gray
123,Gray
124,Cinnamon
125,Gray
126,Gray
127,Gray
128,Gray
129,Black
130,Gray
131,Gray
132,Gray
133,Gray
134,Gray
135,Gray
136,Gray
137,Gray
138,Gray
139,Cinnamon
140,Gray
141,Gray
142,Gray
143,Gray
144,Gray
145,Gray
146,Gray
147,Gray
148,Gray
149,Cinnamon
150,Cinnamon
151,Gray
152,Gray
153,Gray
154,Gray
155,Gray
156,Gray
157,Gray
158,Gray
159,Gray
160,Gray
161,Gray
162,Gray
163,Gray
164,Cinnamon
165,Cinnamon
166,Gray
167,Gray
168,Gray
169,Gray
170,Gray
171,Gray
172,Gray
173,Gray
174,Gray
175,Gray
176,Gray
177,Gray
178,Gray
179,Gray
180,Black
181,Black
182,Gray
183,Gray
184,Gray
185,Gray
186,Gray
187,Cinnamon
188,Gray
189,Gray
190,Gray
191,Gray
192,Gray
193,Cinnamon
194,Gray
195,Gray
196,Gray
197,
198,Cinnamon
199,Gray
200,Gray
201,Gray
202,Gray
203,Cinnamon
204,Gray
205,Gray
206,Gray
207,Gray
208,Gray
209,Black
210,Gray
211,Gray
212,Gray
213,Cinnamon
214,Gray
215,Gray
216,Cinnamon
217,Gray
218,Gray
219,Gray
220,Gray
221,
222,Gray
223,Cinnamon
224,Gray
225,Gray
226,Black
227,Gray
228,Gray
229,Gray
230,Gray
231,Gray
232,Cinnamon
233,Gray
234,Gray
235,Gray
236,Gray
237,Gray
238,Gray
239,Gray
240,Gray
241,Gray
242,Gray
243,Gray
244,Gray
245,Gray
246,Cinnamon
247,Gray
248,Cinnamon
249,Gray
250,Gray
251,Gray
252,Gray
253,Cinnamon
254,Cinnamon
255,Cinnamon
256,Cinnamon
257,Gray
258,Gray
259,Gray
260,Cinnamon
261,Gray
262,Cinnamon
263,Gray
264,Gray
265,Gray
266,Cinnamon
267,Cinnamon
268,Gray
269,Gray
270,Gray
271,Gray
272,Gray
273,Gray
274,Gray
275,Gray
276,Gray
277,Gray
278,Gray
279,Gray
280,Gray
281,Gray
282,Gray
283,Gray
284,Gray
285,Gray
286,Gray
287,Gray
288,Gray
289,Cinnamon
290,Gray
291,Gray
292,Gray
293,Gray
294,Gray
295,Gray
296,Gray
297,Cinnamon
298,Gray
299,Gray
300,Gray
301,Gray
302,Cinnamon
303,Gray
304,Cinnamon
305,Gray
306,Gray
307,Gray
308,Gray
309,Gray
310,Gray
311,Gray
312,Gray
313,Gray
314,Gray
315,Gray
316,Gray
317,Gray
318,Cinnamon
319,Cinnamon
320,Gray
321,Gray
322,Gray
323,Gray
324,Black
325,Gray
326,Gray
327,Gray
328,Gray
329,Gray
330,Gray
331,Gray
332,Gray
333,Gray
334,Gray
335,Gray
336,Gray
337,Gray
338,Gray
339,Gray
340,Gray
341,Gray
342,Gray
343,Gray
344,Gray
345,Gray
346,Gray
347,Cinnamon
348,Cinnamon
349,Gray
350,Gray
351,Gray
352,Gray
353,Gray
354,Gray
355,Gray
356,Gray
357,Cinnamon
358,Gray
359,Gray
360,Gray
361,Gray
362,Gray
363,Gray
364,Gray
365,Gray
366,Gray
367,Gray
368,Black
369,Gray
370,Gray
371,Gray
372,Gray
373,Gray
374,Cinnamon
375,Cinnamon
376,Cinnamon
377,Gray
378,Gray
379,Gray
380,Black
381,Gray
382,Gray
383,Cinnamon
384,Gray
385,Gray
386,Gray
387,Black
388,Gray
389,Gray
390,Black
391,Cinnamon
392,Gray
393,Gray
394,Gray
395,Gray
396,Cinnamon
397,Gray
398,Cinnamon
399,Gray
400,Gray
401,Gray
402,Gray
403,Gray
404,Cinnamon
405,Gray
406,Gray
407,Gray
408,Gray
409,Gray
410,Gray
411,Cinnamon
412,Gray
413,Gray
414,Gray
415,Gray
416,Gray
417,Gray
418,Gray
419,Gray
420,Gray
421,Gray
422,Cinnamon
423,Cinnamon
424,Gray
425,Gray
426,Gray
427,Gray
428,Gray
429,Black
430,Gray
431,Cinnamon
432,Gray
433,Gray
434,Gray
435,Gray
436,Gray
437,Gray
438,Gray
439,Gray
440,Gray
441,Gray
442,Gray
443,Gray
444,Gray
445,Gray
446,Gray
447,Gray
448,Gray
449,Gray
450,Gray
451,Gray
452,Gray
453,Cinnamon
454,
455,Gray
456,Gray
457,Cinnamon
458,Gray
459,Gray
460,Cinnamon
461,Gray
462,Gray
463,Cinnamon
464,Gray
465,Gray
466,Gray
467,Gray
468,Gray
469,Cinnamon
470,Gray
471,Gray
472,Black
473,Gray
474,Gray
475,Gray
476,Cinnamon
477,Gray
478,Gray
479,Gray
480,Black
481,Gray
482,Gray
483,Gray
484,Cinnamon
485,Gray
486,Gray
487,Gray
488,Gray
489,Cinnamon
490,Gray
491,Gray
492,Cinnamon
493,Gray
494,Cinnamon
495,Gray
496,Black
497,Gray
498,Gray
499,Gray
500,Gray
501,Gray
502,Gray
503,Gray
504,Gray
505,Cinnamon
506,Gray
507,Gray
508,Cinnamon
509,Gray
510,Gray
511,
512,Gray
513,Cinnamon
514,Gray
515,Gray
516,Gray
517,Gray
518,Gray
519,Gray
520,Gray
521,Gray
522,Gray
523,Gray
524,Cinnamon
525,
526,Gray
527,Gray
528,Gray
529,Gray
530,Gray
531,Gray
532,Gray
533,Cinnamon
534,Gray
535,Gray
536,Gray
